ti:지 地持智池知祉蜘
ti:질 質
ti:치 峙恥治痔痴癡稚穉緻置致雉馳
ti:태 笞
tiku:유 柚
tiku:죽 竹
tiku:촉 矗
tiku:축 畜筑築蓄軸
tim:침 沈枕砧
tin:정 亭
tin:진 塵珍疹診鎭陣陳
titu:질 姪帙秩窒膣
tiu:유 紐
tiu:조 稠
tiu:주 胄宙晝疇籌紂紬綢躊酎鑄
tiu:추 抽
tiu:축 丑
to:도 刀圖塗屠徒渡途鍍
to:두 杜
to:탁 度
tog:동 冬動同桐潼疼瞳童胴
tog:등 嶝橙登等藤謄
tog:통 洞慟筒統
toku:독 毒牘犢獨督禿篤纛
toku:익 匿
toku:축 竺
toku:특 慝
tom:담 湛
tom:탐 探眈耽
ton:단 團
ton:돈 暾沌燉豚
ton:둔 臀遁遯
ton:등 燈
ton:탄 呑
ton:퇴 褪
top:답 答踏
top:탑 搭
totu:철 凸
tou:두 痘竇荳讀豆逗
tou:유 揄
tou:투 投
tu:도 堵睹覩賭都
tu:두 兜斗
tu:토 兎吐土
tu:투 妬透
tug:동 凍東棟董
tug:통 桶痛
tui:대 對
tui:돈 敦
tui:추 墜推椎追錘鎚
tui:퇴 堆槌
tuku:탁 啄
tya:차 侘茶
tya:타 咤
tyag:령 逞
tyag:장 丈仗場帳張杖腸長
tyag:정 丁停偵幀汀町碇禎艇訂貞酊釘錠頂
tyag:창 昶暢漲脹
tyag:청 廳聽
tyag:타 打
tyaku:적 嫡摘滴的謫適
tyaku:착 着
tyaku:척 剔
tyo:저 佇儲楮樗猪箸紵苧著貯躇
tyo:제 除
tyog:징 懲
tyoku:직 直
tyoku:척 陟
tyoku:치 値
tyoku:칙 勅
tyug:중 中仲
tyug:총 塚寵
tyug:충 忠沖蟲
tyun:둔 屯
tyun:춘 椿
tyuu:유 鍮
tyuu:주 住廚柱株注蛛註誅
tyuu:투 偸
u:구 區嘔歐毆謳
u:우 于佑優又友右宇尤憂盂祐禹紆羽芋迂郵雨
u:웅 熊
u:유 侑宥有
u:호 胡
ui:외 外
un:운 云暈耘運雲
utu:울 鬱
va:와 渦窩
va:화 禍禾
vag:굉 宏紘
vag:왕 往旺枉汪
vag:홍 泓
vag:황 凰幌徨惶晃晄湟滉煌皇篁簧蝗遑隍
vaku:호 瓠
vaku:혹 惑或
vaku:획 劃
van:완 椀碗腕
vatu:알 斡
ve:괴 壞槐
ve:궤 潰
ve:예 穢
ve:와 窪蛙
ve:왜 娃歪
ve:외 猥
ve:혜 惠慧
ve:화 話
ve:회 匯回廻徊懷會淮繪茴蛔
ve:휴 携畦
vei:위 衛
ven:만 彎灣
ven:연 淵
ven:완 豌
ven:원 圓湲
vetu:결 抉
vi:왜 倭
vi:울 蔚
vi:위 位偉圍委威尉慰渭爲緯胃萎葦蝟謂違韋
vi:유 唯惟維遺
vi:휘 彙諱
viki:역 域
viku:오 墺澳
viku:욱 郁
vin:균 均
vin:운 殞隕
vin:원 員院
vo:어 於
vo:오 惡嗚塢汚烏
vo:호 乎
vo:화 和
vog:옹 瓮甕翁
voku:오 奧
voku:옥 屋
von:온 瘟穩
von:완 婉宛
von:원 園垣媛寃怨援爰猿苑袁轅遠
von:윤 贇
voti:월 越
vyag:영 永泳詠
xa:파 坡杷波爬琶破
xag:방 倣傍坊妨幇彷房放方旁滂紡肪膀舫芳蒡蚌訪謗邦防
xag:봉 棒
xag:장 庄
xag:팽 彭
xai:배 倍俳徘排裴賠
xai:비 憊
xai:패 佩唄沛牌狽稗
xai:폐 吠
xaku:맥 貊陌
xaku:박 博搏箔粕縛膊舶薄雹
xaku:백 帛白
xam:범 凡帆梵犯範
xan:반 伴半叛拌搬槃潘畔瘢盤磐礬絆蟠
xan:번 樊煩燔繁
xan:파 播
xan:판 判瓣
xap:핍 乏
xatu:발 拔撥跋鉢
xatu:벌 伐筏罰
xatu:팔 八
xau:포 匏咆
xe:배 拜杯湃盃背胚輩配
xe:파 巴把擺派芭
xe:패 敗
xeg:병 病竝
xeg:평 坪萍
xei:폐 嬖幣弊斃蔽閉
xeki:벽 闢
xen:반 攀斑班般
xen:변 卞弁變辨辯
xen:판 板版鈑
xen:편 便偏扁片篇編翩遍鞭
xeti:팔 叭
xetu:별 別瞥
xeu:포 包抛泡疱砲胞苞飽
xeu:표 俵剽慓標漂瓢票表豹飄
xi:비 丕備匪卑妃婢庇悲扉批斐枇榧比毘琵痺砒碑秕秘粃緋翡肥脾臂菲蜚裨誹譬費鄙非飛
xi:파 罷跛
xi:피 彼披疲皮被避
xin:빈 嬪彬斌檳殯濱瀕牝貧賓
xitu:필 泌匹弼必畢疋筆
xiu:표 彪
xo:무 畝
xo:부 簿
xo:파 婆
xo:폐 廢肺
xo:포 匍哺捕葡蒲
xog:봉 俸奉縫蓬逢
xog:붕 崩朋棚
xoku:박 撲朴樸璞
xoku:배 北
xoku:복 僕卜
xoku:폭 曝爆
xom:범 氾汎
xom:품 品
xon:반 反返
xon:번 幡番蕃藩
xon:분 奔盆
xon:판 坂販
xop:법 法
xoti:발 髮
xotu:발 勃渤發
xotu:패 悖
xou:배 培焙
xou:보 保堡報寶褓
xou:포 抱袍褒
xou:폭 暴瀑
xu:무 巫撫誣
xu:보 普甫補譜
xu:봉 峯峰捧
xu:부 付俯傅剖咐埠孚孵府扶敷斧溥父符腐腑膚芙訃賦賻赴趺部釜附
xu:포 圃布怖浦脯逋鋪
xu:풍 豊
xug:범 泛
xug:봉 封烽蜂鋒
xug:풍 楓諷風
xuku:복 伏匐福腹茯蔔複輹
xuku:폭 幅
xun:문 刎吻
xun:반 頒
xun:분 分吩噴墳奮忿憤扮汾焚粉糞紛芬賁
xutu:불 佛弗彿
xutu:비 沸
xuu:보 菩
xuu:복 服覆輻
xuu:부 復副否夫婦富浮缶艀負阜
xuu:불 不
xyag:방 枋榜磅
xyag:병 丙兵柄炳秉餠
xyag:붕 硼繃
xyag:빈 浜
xyag:빙 聘
xyag:팽 澎烹
xyag:평 平
xyag:형 亨
xyaku:박 泊珀迫
